tick;positiveVolume [MW];negativeVolume [MW]
1340;4155;4332
1341;4155;4332
1342;4155;4332
1343;4155;4332
1344;4155;4332
1345;4155;4332
1346;4155;4332
1347;4155;4332
1348;4155;4332
1349;4155;4332
1350;4155;4332
1351;4155;4332
1352;4155;4332
1353;4155;4332
1354;4155;4332
1355;4155;4332
1356;4155;4332
1357;4155;4332
1358;4155;4332
1359;4155;4332
1360;4155;4332
1361;4155;4332
1362;4155;4332
1363;4155;4332
1364;4155;4332
1365;4155;4332
1366;4155;4332
1367;4155;4332
1368;4155;4332
1369;4155;4332
1370;4155;4332
1371;4155;4332
1372;4155;4332
1373;4155;4332
1374;4155;4332
1375;4155;4332
1376;4155;4332
1377;4155;4332
1378;4155;4332
1379;4155;4332
1380;4155;4332
1381;4155;4332
1382;4155;4332
1383;4155;4332
1384;4155;4332
1385;4155;4332
1386;4155;4332
1387;4155;4332
1388;4155;4332
1389;4155;4332
1390;4155;4332
1391;4155;4332
1392;4155;4332
1393;4155;4332
1394;4155;4332
1395;4155;4332
1396;4155;4332
1397;4155;4332
1398;4155;4332
1399;4155;4332
1400;4155;4332
1401;4155;4332
1402;4155;4332
1403;4155;4332
1404;4155;4332
1405;4155;4332
1406;4155;4332
1407;4155;4332
1408;4155;4332
1409;4155;4332
1410;4155;4332
1411;4155;4332
1412;4155;4332
1413;4155;4332
1414;4155;4332
1415;4155;4332
1416;4155;4332
1417;4155;4332
1418;4155;4332
1419;4155;4332
1420;4155;4332
1421;4155;4332
1422;4155;4332
1423;4155;4332
1424;4155;4332
1425;4155;4332
1426;4155;4332
1427;4155;4332
1428;4155;4332
1429;4155;4332
1430;4155;4332
1431;4155;4332
1432;4155;4332
1433;4155;4332
1434;4155;4332
1435;4155;4332
1436;4155;4332
1437;4155;4332
1438;4155;4332
1439;4155;4332
1440;4155;4332
1441;4155;4332
1442;4155;4332
1443;4155;4332
1444;4155;4332
1445;4155;4332
1446;4155;4332
1447;4155;4332
1448;4155;4332
